simak;latitude;longitude;data;device;
1613;-23,53162934537977;-46,71323988586664;2013-08-02 00:20:56.454032;355255051205947;
389;-23,5902;-46,815987;2013-07-26 06:12:41.434892;355255051205947;
7716;-23,556011;-46,75082;2013-07-26 04:40:18.437524;355255051205947;
3283;-23,554949;-46,7563;2013-07-26 04:38:29.329483;355255051205947;
3286;-23,551281;-46,757576;2013-07-26 04:31:30.53769;355255051205947;
3281;-23,559805;-46,74738;2013-07-26 04:28:34.648472;355255051205947;
2309;-23,561777;-46,74693;2013-07-26 04:26:45.478433;355255051205947;
3280;-23,56363;-46,746098;2013-07-26 04:25:35.151141;355255051205947;
3288;-23,565613;-46,744507;2013-07-26 04:23:54.637266;355255051205947;
3287;-23,568602;-46,74195;2013-07-26 04:22:19.63922;355255051205947;
2311;-23,571657;-46,739452;2013-07-26 04:20:36.482641;355255051205947;
7717;-23,57166;-46,739456;2013-07-26 04:19:59.344333;355255051205947;
2310;-23,573587;-46,73647;2013-07-26 04:18:42.062629;355255051205947;
3291;-23,573719;-46,73288;2013-07-26 04:17:35.328665;355255051205947;
3274;-23,573109;-46,724533;2013-07-26 04:15:44.986409;355255051205947;
2401;-23,56672;-46,70981;2013-07-26 04:11:47.459596;355255051205947;
3270;-23,569662;-46,716133;2013-07-26 04:08:17.116046;355255051205947;
3273;-23,5717;-46,721348;2013-07-26 04:06:36.667743;355255051205947;
7718;-23,569992;-46,717228;2013-07-26 04:05:06.805799;355255051205947;
3270;-23,569544;-46,7162;2013-07-26 04:03:12.978991;355255051205947;
2293;-23,569742;-46,71284;2013-07-26 04:00:23.636975;355255051205947;
2294;-23,569885;-46,71252;2013-07-26 03:59:45.231575;355255051205947;
2939;-23,572176;-46,709515;2013-07-26 03:58:06.874999;355255051205947;
2292;-23,572311;-46,70553;2013-07-26 03:56:24.609199;355255051205947;
3071;-23,571186;-46,706528;2013-07-26 03:52:58.380086;355255051205947;
2398;-23,565865;-46,710907;2013-07-26 03:50:25.69121;355255051205947;
2279;-23,584673;-46,6906;2013-07-26 03:43:23.459329;355255051205947;
341;-23,581896;-46,684986;2013-07-26 03:40:49.61989;355255051205947;
588;-23,588686;-46,676044;2013-07-26 03:33:30.850421;355255051205947;
2217;-23,58504;-46,670696;2013-07-26 03:32:05.627425;355255051205947;
582;-23,585588;-46,67149;2013-07-26 03:29:35.549205;355255051205947;
583;-23,588543;-46,675495;2013-07-26 03:27:00.926193;355255051205947;
291;-23,590748;-46,681274;2013-07-26 03:24:53.852552;355255051205947;
6488;-23,594664;-46,679073;2013-07-26 03:22:22.384075;355255051205947;
507;-23,59743;-46,678043;2013-07-26 03:20:15.865496;355255051205947;
511;-23,597971;-46,676716;2013-07-26 03:18:54.760804;355255051205947;
509;-23,59763;-46,674625;2013-07-26 03:17:09.588934;355255051205947;
224;-23,599133;-46,68669;2013-07-26 03:01:06.163809;355255051205947;
597;-23,605925;-46,693073;2013-07-26 02:59:08.788682;355255051205947;
1995;-23,6127;-46,695717;2013-07-26 02:56:19.278296;355255051205947;
596;-23,604265;-46,692574;2013-07-26 02:54:09.277425;355255051205947;
594;-23,60068;-46,691303;2013-07-26 02:52:55.185065;355255051205947;
2219;-23,596096;-46,69088;2013-07-26 02:50:47.060921;355255051205947;
4721;-23,588568;-46,687717;2013-07-26 02:48:30.970298;355255051205947;
2305;-23,589071;-46,700386;2013-07-26 02:45:44.252362;355255051205947;
689;-23,59301;-46,704666;2013-07-26 02:44:01.131217;355255051205947;
2285;-23,597328;-46,708523;2013-07-26 02:42:29.786666;355255051205947;
2301;-23,60057;-46,70917;2013-07-26 02:41:05.660874;355255051205947;
2286;-23,603554;-46,712193;2013-07-26 02:39:44.553612;355255051205947;
5772;-23,610266;-46,712997;2013-07-26 02:38:04.351729;355255051205947;
2300;-23,612728;-46,71314;2013-07-26 02:36:54.179107;355255051205947;
2298;-23,616087;-46,71279;2013-07-26 02:35:39.525077;355255051205947;
2296;-23,617083;-46,70894;2013-07-26 02:34:23.870426;355255051205947;
2295;-23,617308;-46,70712;2013-07-26 02:33:28.918079;355255051205947;
889;-23,530624;-46,677185;2013-07-26 02:33:09.31145;355255051213073;
1106;-23,531565;-46,676983;2013-07-26 02:31:45.46452;355255051213073;
3753;-23,61455;-46,702385;2013-07-26 02:30:36.684961;355255051205947;
888;-23,532984;-46,675114;2013-07-26 02:29:34.593081;355255051213073;
883;-23,532831;-46,67505;2013-07-26 02:28:42.42338;355255051213073;
890;-23,53545;-46,674316;2013-07-26 02:26:58.218219;355255051213073;
5773;-23,620289;-46,692837;2013-07-26 02:26:03.814122;355255051205947;
891;-23,53613;-46,674152;2013-07-26 02:25:32.440873;355255051213073;
3154;-23,61968;-46,697956;2013-07-26 02:24:20.923998;355255051205947;
333;-23,62026;-46,698082;2013-07-26 02:23:33.407845;355255051205947;
885;-23,540413;-46,675766;2013-07-26 02:22:53.735445;355255051213073;
6879;-23,626135;-46,688187;2013-07-26 02:20:28.082421;355255051205947;
894;-23,542677;-46,676567;2013-07-26 02:19:14.693507;355255051213073;
886;-23,542404;-46,676254;2013-07-26 02:18:25.768745;355255051213073;
887;-23,545376;-46,676834;2013-07-26 02:16:15.103652;355255051213073;
2506;-23,630966;-46,70267;2013-07-26 02:15:51.211745;355255051205947;
882;-23,547813;-46,67678;2013-07-26 02:14:27.664408;355255051213073;
884;-23,549929;-46,677296;2013-07-26 02:12:38.110781;355255051213073;
5022;-23,635233;-46,711647;2013-07-26 02:09:35.118489;355255051205947;
731;-23,55268;-46,6789;2013-07-26 02:08:27.03109;355255051213073;
5020;-23,639254;-46,71165;2013-07-26 02:08:21.685235;355255051205947;
730;-23,552896;-46,67858;2013-07-26 02:06:19.751632;355255051213073;
7732;-23,646997;-46,706783;2013-07-26 02:04:44.035486;355255051205947;
515;-23,55827;-46,68158;2013-07-26 02:03:12.188327;355255051213073;
3670;-23,652891;-46,712803;2013-07-26 02:01:50.331488;355255051205947;
514;-23,560564;-46,680305;2013-07-26 02:01:33.286942;355255051213073;
257;-23,564634;-46,67737;2013-07-26 01:59:47.22416;355255051213073;
3464;-23,657768;-46,71632;2013-07-26 01:58:22.505995;355255051205947;
3465;-23,659378;-46,713852;2013-07-26 01:57:25.052609;355255051205947;
3471;-23,669724;-46,703835;2013-07-26 01:55:16.586256;355255051205947;
252;-23,571278;-46,66989;2013-07-26 01:53:42.493714;355255051213073;
258;-23,576937;-46,664112;2013-07-26 01:50:38.05686;355255051213073;
256;-23,577454;-46,66334;2013-07-26 01:46:56.296104;355255051213073;
3473;-23,674757;-46,700317;2013-07-26 01:46:10.094842;355255051205947;
251;-23,578539;-46,662395;2013-07-26 01:45:18.124913;355255051213073;
748;-23,580479;-46,65982;2013-07-26 01:40:09.61175;355255051213073;
756;-23,582796;-46,656616;2013-07-26 01:38:23.972935;355255051213073;
755;-23,582796;-46,656616;2013-07-26 01:38:10.927977;355255051213073;
752;-23,581394;-46,65884;2013-07-26 01:36:00.210009;355255051213073;
2297;-23,616158;-46,71272;2013-07-26 01:35:34.495698;355255051205947;
2299;-23,610123;-46,726585;2013-07-26 01:33:09.508551;355255051205947;
2284;-23,610123;-46,726585;2013-07-26 01:31:23.508305;355255051205947;
2306;-23,610123;-46,726585;2013-07-26 01:26:45.485025;355255051205947;
842;-23,582062;-46,66323;2013-07-26 01:25:57.654891;355255051213073;
2307;-23,622726;-46,732693;2013-07-26 01:25:14.327051;355255051205947;
832;-23,590702;-46,664383;2013-07-26 01:23:29.814722;355255051213073;
831;-23,590702;-46,664383;2013-07-26 01:23:12.613047;355255051213073;
4599;-23,623655;-46,733753;2013-07-26 01:22:45.378532;355255051205947;
4600;-23,625664;-46,73429;2013-07-26 01:21:29.094984;355255051205947;
4601;-23,627523;-46,73576;2013-07-26 01:20:20.641705;355255051205947;
497;-23,629951;-46,736298;2013-07-26 01:19:09.617349;355255051205947;
498;-23,63465;-46,73339;2013-07-26 01:17:07.179363;355255051205947;
830;-23,59435;-46,66473;2013-07-26 01:16:13.942812;355255051213073;
798;-23,594637;-46,662865;2013-07-26 01:13:37.599946;355255051213073;
796;-23,593924;-46,66075;2013-07-26 01:12:21.726239;355255051213073;
4605;-23,638475;-46,73676;2013-07-26 01:09:19.227932;355255051205947;
835;-23,59564;-46,664253;2013-07-26 01:07:56.025974;355255051213073;
5212;-23,635214;-46,734066;2013-07-26 01:06:53.150354;355255051205947;
833;-23,591583;-46,664776;2013-07-26 01:06:18.80945;355255051213073;
841;-23,589258;-46,66451;2013-07-26 01:05:10.903275;355255051213073;
834;-23,581902;-46,663483;2013-07-26 01:02:38.01324;355255051213073;
606;-23,579094;-46,660263;2013-07-26 01:00:41.548917;355255051213073;
6330;-23,601147;-46,71444;2013-07-26 00:57:41.095844;355255051205947;
2287;-23,60387;-46,71233;2013-07-26 00:56:06.908831;355255051205947;
2287;-23,600615;-46,70932;2013-07-26 00:53:18.036105;355255051205947;
2302;-23,59699;-46,70864;2013-07-26 00:51:57.803027;355255051205947;
1222;-23,57775;-46,658005;2013-07-26 00:50:59.475444;355255051213073;
3191;-23,593187;-46,710274;2013-07-26 00:50:09.273235;355255051205947;
3190;-23,593563;-46,7099;2013-07-26 00:49:01.794268;355255051205947;
2303;-23,594635;-46,706856;2013-07-26 00:46:14.710764;355255051205947;
2315;-23,592339;-46,704407;2013-07-26 00:45:05.699376;355255051205947;
2314;-23,58658;-46,698536;2013-07-26 00:43:23.996323;355255051205947;
2291;-23,582882;-46,699795;2013-07-26 00:41:39.956727;355255051205947;
2290;-23,577398;-46,702145;2013-07-26 00:39:38.534065;355255051205947;
6512;-23,591108;-46,730732;2013-07-26 00:33:17.331394;355255051205947;
7723;-23,596611;-46,73968;2013-07-26 00:30:41.106296;355255051205947;
6533;-23,613312;-46,741817;2013-07-26 00:25:14.462329;355255051205947;
7724;-23,606531;-46,748642;2013-07-26 00:22:44.384883;355255051205947;
5043;-23,608458;-46,750687;2013-07-26 00:20:45.591853;355255051205947;
297;-23,558945;-46,64201;2013-07-26 00:18:56.46639;355255051213073;
7725;-23,60162;-46,743507;2013-07-26 00:16:38.874348;355255051205947;
303;-23,565708;-46,647766;2013-07-26 00:15:09.251713;355255051213073;
302;-23,565704;-46,64781;2013-07-26 00:14:51.594589;355255051213073;
7723;-23,596601;-46,7399;2013-07-26 00:13:53.331401;355255051205947;
1651;-23,591505;-46,73133;2013-07-26 00:10:25.733644;355255051205947;
6512;-23,590979;-46,730827;2013-07-26 00:09:30.801757;355255051205947;
241;-23,572315;-46,643127;2013-07-26 00:07:52.458912;355255051213073;
299;-23,573338;-46,655006;2013-07-26 00:01:56.400797;355255051213073;
2911;-23,575207;-46,65695;2013-07-26 00:00:19.76047;355255051213073;
3790;-23,578804;-46,71653;2013-07-25 23:57:44.513063;355255051205947;
296;-23,578594;-46,660748;2013-07-25 23:57:03.388234;355255051213073;
304;-23,579374;-46,66192;2013-07-25 23:55:45.685832;355255051213073;
301;-23,580399;-46,66367;2013-07-25 23:54:31.467079;355255051213073;
737;-23,58094;-46,663754;2013-07-25 23:53:40.172914;355255051213073;
2015;-23,580833;-46,664352;2013-07-25 23:50:50.476662;355255051213073;
3792;-23,580421;-46,721012;2013-07-25 23:50:01.815849;355255051205947;
306;-23,582224;-46,66676;2013-07-25 23:49:16.503128;355255051213073;
3794;-23,581944;-46,72459;2013-07-25 23:48:48.92561;355255051205947;
307;-23,583584;-46,669315;2013-07-25 23:47:57.067885;355255051213073;
3796;-23,584478;-46,7277;2013-07-25 23:45:58.973939;355255051205947;
7727;-23,589266;-46,734257;2013-07-25 23:42:42.737609;355255051205947;
296;-23,580975;-46,66379;2013-07-25 23:42:41.429694;355255051213073;
3821;-23,58905;-46,732964;2013-07-25 23:40:53.715366;355255051205947;
7728;-23,591928;-46,739502;2013-07-25 23:37:26.59432;355255051205947;
3798;-23,586966;-46,732086;2013-07-25 23:27:51.919867;355255051205947;
3793;-23,582281;-46,725395;2013-07-25 23:23:51.488853;355255051205947;
3788;-23,578327;-46,715736;2013-07-25 23:20:29.774309;355255051205947;
3787;-23,57643;-46,714054;2013-07-25 23:18:11.702213;355255051205947;
2200;-23,590094;-46,81597;2013-07-25 20:34:47.536567;355255051205947;
785;-23,590214;-46,815914;2013-07-25 20:32:42.553717;355255051205947;
221;-23,590214;-46,815914;2013-07-25 20:32:30.484964;355255051205947;
